,Unnamed: 0,num_infected,cities_infected,num_interactions,run,probability_of_flying_day,transmission_rate,initial_infected,passengers_per_flight,effective_contacts,probability_of_flying,reproduction_number
36,36,0.0,0,0,run-20150321-0,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-1,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-10,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,37.0,7,0,run-20150321-100,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,58.0,14,1,run-20150321-101,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,33.0,7,1,run-20150321-102,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,35.0,9,0,run-20150321-103,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,22.0,6,0,run-20150321-104,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,45.0,8,1,run-20150321-105,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,79.0,16,1,run-20150321-106,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,130.0,21,4,run-20150321-107,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,43.0,8,0,run-20150321-108,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,82.0,17,0,run-20150321-109,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,0.0,0,0,run-20150321-11,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,41.0,9,0,run-20150321-110,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,64.0,9,1,run-20150321-111,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,46.0,10,1,run-20150321-112,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
36,36,34.0,8,1,run-20150321-113,0.0005,0.056666666666666664,"[[366], [1000]]",150,15,0.014891755791629935,0.85
