,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,26,323.0
1,0,366,212,32,359.0
2,1,212,558,1,11.0
3,1,212,627,1,11.0
4,1,212,255,2,21.0
5,1,212,378,1,11.0
6,1,212,585,1,12.0
7,1,212,487,1,12.0
8,1,366,396,33,350.0
9,1,366,212,24,201.0
10,1,396,544,1,10.0
11,1,396,615,1,6.0
12,1,396,627,1,10.0
13,1,396,145,1,10.0
14,1,396,160,1,7.0
15,2,212,512,1,8.0
16,2,212,12,1,7.0
17,2,212,558,1,12.0
18,2,212,565,1,9.0
19,2,212,627,1,9.0
20,2,212,255,1,11.0
21,2,212,302,1,9.0
22,2,212,366,1,11.0
23,2,212,370,1,10.0
24,2,212,472,1,10.0
25,2,212,491,1,10.0
26,2,212,495,1,11.0
27,2,366,396,39,406.0
28,2,366,212,28,306.0
29,2,396,103,1,8.0
30,2,396,619,1,11.0
31,2,396,627,1,12.0
32,2,396,158,1,9.0
33,2,396,178,1,12.0
34,2,396,238,1,8.0
35,2,396,255,1,11.0
36,2,396,273,1,7.0
37,2,396,276,1,9.0
38,2,396,308,1,12.0
39,2,396,453,1,12.0
40,2,487,212,1,4.0
41,2,544,425,1,8.0
42,2,627,164,1,10.0
43,3,212,512,1,12.0
44,3,212,519,1,9.0
45,3,212,544,1,13.0
46,3,212,565,1,11.0
47,3,212,528,1,12.0
48,3,212,103,1,11.0
49,3,212,173,1,11.0
50,3,212,178,1,11.0
51,3,212,231,1,12.0
52,3,212,255,3,28.0
53,3,212,394,1,9.0
54,3,212,412,1,9.0
55,3,212,487,1,13.0
56,3,212,495,1,13.0
57,3,255,278,1,9.0
58,3,366,396,31,292.0
59,3,366,212,36,500.0
60,3,396,516,1,12.0
61,3,396,563,1,10.0
62,3,396,103,1,12.0
63,3,396,619,1,9.0
64,3,396,627,2,14.0
65,3,396,178,1,9.0
66,3,396,238,1,9.0
67,3,396,255,1,10.0
68,3,396,276,1,11.0
69,3,396,345,1,9.0
70,3,396,374,2,23.0
71,3,396,414,1,11.0
72,3,472,212,1,11.0
73,3,512,396,1,9.0
74,3,544,623,1,10.0
75,3,565,623,1,8.0
76,3,627,212,1,9.0
77,3,627,501,1,9.0
78,4,103,70,1,7.0
79,4,160,212,1,10.0
80,4,212,519,1,12.0
81,4,212,558,2,20.0
82,4,212,598,2,16.0
83,4,212,627,2,21.0
84,4,212,117,1,9.0
85,4,212,200,1,13.0
86,4,212,214,2,14.0
87,4,212,232,1,12.0
88,4,212,238,2,14.0
89,4,212,255,4,50.0
90,4,212,273,1,16.0
91,4,212,276,2,22.0
92,4,212,407,1,12.0
93,4,212,585,3,31.0
94,4,212,472,1,9.0
95,4,212,495,3,27.0
96,4,276,560,1,8.0
97,4,276,212,1,13.0
98,4,308,164,1,8.0
99,4,308,425,1,12.0
100,4,366,396,46,485.0
101,4,366,212,33,436.0
102,4,396,516,1,10.0
103,4,396,528,1,10.0
104,4,396,531,1,8.0
105,4,396,544,2,22.0
106,4,396,558,2,17.0
107,4,396,614,1,5.0
108,4,396,619,1,12.0
109,4,396,627,1,8.0
110,4,396,152,1,12.0
111,4,396,160,1,9.0
112,4,396,178,2,21.0
113,4,396,214,1,9.0
114,4,396,255,4,43.0
115,4,396,273,1,8.0
116,4,396,276,5,55.0
117,4,396,302,1,11.0
118,4,396,308,1,12.0
119,4,396,370,1,9.0
120,4,396,414,1,10.0
121,4,396,495,2,20.0
122,4,453,326,1,11.0
123,4,453,623,1,10.0
124,4,472,212,1,10.0
125,4,495,560,1,11.0
126,4,519,286,1,11.0
127,4,544,560,1,10.0
128,4,565,425,1,11.0
129,4,623,361,1,12.0
130,4,623,471,1,9.0
131,4,627,384,1,11.0
132,4,627,212,1,10.0
133,5,178,54,1,9.0
134,5,200,623,1,9.0
135,5,212,512,2,23.0
136,5,212,545,1,8.0
137,5,212,558,1,10.0
138,5,212,63,1,10.0
139,5,212,598,1,14.0
140,5,212,616,1,12.0
141,5,212,178,1,12.0
142,5,212,195,1,9.0
143,5,212,214,1,8.0
144,5,212,221,1,8.0
145,5,212,232,1,10.0
146,5,212,255,2,19.0
147,5,212,323,1,10.0
148,5,212,349,1,11.0
149,5,212,405,1,9.0
150,5,212,585,2,25.0
151,5,212,455,1,10.0
152,5,212,495,1,11.0
153,5,212,505,1,7.0
154,5,231,212,1,12.0
155,5,238,501,1,10.0
156,5,255,560,1,12.0
157,5,276,396,1,12.0
158,5,276,560,1,9.0
159,5,302,335,1,12.0
160,5,302,212,1,9.0
161,5,366,396,43,447.0
162,5,366,212,33,310.0
163,5,370,212,1,9.0
164,5,396,512,1,9.0
165,5,396,516,1,9.0
166,5,396,519,1,8.0
167,5,396,24,1,10.0
168,5,396,544,2,18.0
169,5,396,33,1,9.0
170,5,396,38,1,12.0
171,5,396,563,1,10.0
172,5,396,598,1,10.0
173,5,396,614,1,10.0
174,5,396,103,1,12.0
175,5,396,627,1,11.0
176,5,396,145,3,26.0
177,5,396,158,1,9.0
178,5,396,160,2,17.0
179,5,396,178,1,10.0
180,5,396,214,1,11.0
181,5,396,238,2,20.0
182,5,396,255,6,61.0
183,5,396,273,2,29.0
184,5,396,276,3,32.0
185,5,396,330,1,7.0
186,5,396,495,5,52.0
187,5,414,212,1,9.0
188,5,425,565,1,10.0
189,5,472,212,1,7.0
190,5,487,212,1,6.0
191,5,495,559,1,11.0
192,5,495,626,1,10.0
193,5,512,13,1,10.0
194,5,528,623,1,10.0
195,5,558,13,1,13.0
196,5,558,212,1,10.0
197,5,558,501,1,13.0
198,5,585,623,1,13.0
199,5,598,396,1,8.0
200,5,598,278,1,12.0
201,5,623,214,1,12.0
202,6,152,54,1,11.0
203,6,160,396,1,10.0
204,6,212,519,1,12.0
205,6,212,544,1,12.0
206,6,212,565,1,7.0
207,6,212,63,1,9.0
208,6,212,76,2,22.0
209,6,212,598,1,9.0
210,6,212,627,4,41.0
211,6,212,123,1,9.0
212,6,212,158,1,8.0
213,6,212,160,1,10.0
214,6,212,173,1,10.0
215,6,212,178,1,11.0
216,6,212,214,1,12.0
217,6,212,238,1,9.0
218,6,212,255,1,8.0
219,6,212,273,1,9.0
220,6,212,276,1,10.0
221,6,212,297,1,11.0
222,6,212,353,1,10.0
223,6,212,388,1,11.0
224,6,212,405,1,13.0
225,6,212,412,1,10.0
226,6,212,585,5,42.0
227,6,212,495,1,10.0
228,6,212,505,1,11.0
229,6,214,623,1,8.0
230,6,214,212,1,8.0
231,6,255,70,1,10.0
232,6,255,13,1,9.0
233,6,255,212,1,14.0
234,6,273,212,1,13.0
235,6,276,13,1,13.0
236,6,276,555,1,10.0
237,6,276,560,3,41.0
238,6,278,152,1,10.0
239,6,366,396,38,445.0
240,6,366,212,37,431.0
241,6,370,212,1,8.0
242,6,396,516,1,11.0
243,6,396,5,2,20.0
244,6,396,24,2,24.0
245,6,396,544,3,26.0
246,6,396,33,1,12.0
247,6,396,38,1,11.0
248,6,396,563,2,22.0
249,6,396,614,1,12.0
250,6,396,619,1,8.0
251,6,396,627,4,35.0
252,6,396,158,1,10.0
253,6,396,160,1,11.0
254,6,396,178,1,10.0
255,6,396,238,1,9.0
256,6,396,255,4,45.0
257,6,396,276,6,56.0
258,6,396,302,1,9.0
259,6,396,345,1,10.0
260,6,396,370,1,13.0
261,6,396,495,1,11.0
262,6,414,396,1,12.0
263,6,425,544,1,9.0
264,6,472,70,1,11.0
265,6,495,560,1,10.0
266,6,495,335,2,25.0
267,6,516,396,2,17.0
268,6,544,13,1,11.0
269,6,544,326,1,9.0
270,6,558,396,1,10.0
271,6,558,212,1,11.0
272,6,560,519,1,10.0
273,6,560,544,1,8.0
274,6,563,396,1,10.0
275,6,585,212,4,39.0
276,6,615,396,1,9.0
277,6,623,544,1,11.0
278,6,623,627,2,21.0
279,6,627,396,1,12.0
280,6,627,278,1,10.0
281,7,5,54,1,8.0
282,7,13,255,1,12.0
283,7,13,273,1,12.0
284,7,13,308,1,10.0
285,7,24,560,1,12.0
286,7,24,212,1,11.0
287,7,24,501,1,8.0
288,7,70,345,1,9.0
289,7,103,396,1,11.0
290,7,103,70,1,11.0
291,7,117,212,1,9.0
292,7,145,164,1,10.0
293,7,178,560,1,10.0
294,7,178,212,1,8.0
295,7,212,8,3,33.0
296,7,212,531,1,11.0
297,7,212,24,1,10.0
298,7,212,545,2,24.0
299,7,212,40,2,23.0
300,7,212,558,1,10.0
301,7,212,565,1,10.0
302,7,212,76,1,8.0
303,7,212,598,1,10.0
304,7,212,93,1,9.0
305,7,212,606,1,12.0
306,7,212,619,1,8.0
307,7,212,622,1,10.0
308,7,212,627,1,10.0
309,7,212,145,1,7.0
310,7,212,173,2,21.0
311,7,212,214,1,10.0
312,7,212,232,2,24.0
313,7,212,238,3,32.0
314,7,212,255,7,82.0
315,7,212,273,1,12.0
316,7,212,276,2,23.0
317,7,212,323,1,7.0
318,7,212,349,3,34.0
319,7,212,370,2,16.0
320,7,212,405,2,17.0
321,7,212,412,1,11.0
322,7,212,414,1,10.0
323,7,212,585,2,23.0
324,7,212,447,1,11.0
325,7,212,472,1,10.0
326,7,212,487,1,10.0
327,7,212,495,1,10.0
328,7,214,70,1,11.0
329,7,214,382,1,9.0
330,7,214,13,1,10.0
331,7,214,623,1,9.0
332,7,221,501,1,9.0
333,7,238,212,1,10.0
334,7,255,384,2,21.0
335,7,255,555,1,14.0
336,7,255,212,2,19.0
337,7,255,501,1,9.0
338,7,273,70,1,8.0
339,7,273,286,1,8.0
340,7,276,13,1,8.0
341,7,276,560,1,10.0
342,7,276,501,1,9.0
343,7,308,13,2,20.0
344,7,308,501,1,10.0
345,7,366,396,55,671.0
346,7,366,212,38,420.0
347,7,378,212,1,11.0
348,7,388,212,1,10.0
349,7,396,512,3,29.0
350,7,396,5,1,10.0
351,7,396,519,2,20.0
352,7,396,38,1,11.0
353,7,396,615,1,11.0
354,7,396,574,1,10.0
355,7,396,93,1,9.0
356,7,396,606,1,9.0
357,7,396,103,1,9.0
358,7,396,619,1,9.0
359,7,396,627,4,33.0
360,7,396,152,1,11.0
361,7,396,178,2,23.0
362,7,396,238,6,52.0
363,7,396,255,7,90.0
364,7,396,276,3,37.0
365,7,396,288,1,13.0
366,7,396,302,2,20.0
367,7,396,308,1,11.0
368,7,396,414,1,10.0
369,7,396,453,1,8.0
370,7,396,489,1,7.0
371,7,396,495,2,23.0
372,7,412,559,1,10.0
373,7,487,212,2,16.0
374,7,495,212,1,10.0
375,7,495,335,3,32.0
376,7,501,349,1,9.0
377,7,512,141,1,10.0
378,7,516,396,2,25.0
379,7,528,278,1,12.0
380,7,528,623,1,10.0
381,7,544,396,1,7.0
382,7,545,285,1,10.0
383,7,558,212,1,11.0
384,7,558,286,1,12.0
385,7,560,330,1,10.0
386,7,563,396,1,8.0
387,7,585,212,2,22.0
388,7,598,212,1,8.0
389,7,615,396,1,9.0
390,7,623,169,1,10.0
391,7,627,212,6,54.0
392,8,8,212,1,12.0
393,8,24,54,1,11.0
394,8,24,70,1,10.0
395,8,24,212,1,15.0
396,8,33,396,1,8.0
397,8,54,598,1,9.0
398,8,54,283,1,10.0
399,8,70,619,1,7.0
400,8,70,627,1,6.0
401,8,103,70,1,9.0
402,8,158,382,1,9.0
403,8,160,212,1,8.0
404,8,173,141,1,7.0
405,8,178,396,1,12.0
406,8,212,512,1,12.0
407,8,212,519,1,13.0
408,8,212,24,1,7.0
409,8,212,545,3,37.0
410,8,212,40,1,9.0
411,8,212,51,1,10.0
412,8,212,565,1,10.0
413,8,212,580,2,23.0
414,8,212,582,1,9.0
415,8,212,76,1,9.0
416,8,212,598,1,8.0
417,8,212,84,1,10.0
418,8,212,606,1,10.0
419,8,212,614,1,10.0
420,8,212,619,1,9.0
421,8,212,627,4,39.0
422,8,212,124,1,11.0
423,8,212,145,1,10.0
424,8,212,160,1,11.0
425,8,212,163,1,11.0
426,8,212,214,1,9.0
427,8,212,215,1,11.0
428,8,212,221,1,10.0
429,8,212,232,2,21.0
430,8,212,238,2,15.0
431,8,212,255,6,64.0
432,8,212,273,1,11.0
433,8,212,275,1,13.0
434,8,212,276,3,26.0
435,8,212,279,1,11.0
436,8,212,302,1,9.0
437,8,212,563,1,11.0
438,8,212,345,1,9.0
439,8,212,349,1,10.0
440,8,212,353,1,11.0
441,8,212,370,1,9.0
442,8,212,405,2,26.0
443,8,212,412,4,45.0
444,8,212,585,1,11.0
445,8,212,447,1,10.0
446,8,212,449,1,9.0
447,8,212,453,1,9.0
448,8,212,472,1,7.0
449,8,212,505,1,7.0
450,8,214,623,1,12.0
451,8,214,212,1,8.0
452,8,221,13,1,7.0
453,8,232,501,1,8.0
454,8,255,384,1,11.0
455,8,255,278,1,12.0
456,8,255,382,1,9.0
457,8,255,555,1,11.0
458,8,255,560,1,11.0
459,8,255,13,1,11.0
460,8,255,212,3,31.0
461,8,255,326,1,13.0
462,8,255,623,1,13.0
463,8,255,501,1,14.0
464,8,273,384,1,8.0
465,8,273,278,1,9.0
466,8,276,13,1,10.0
467,8,276,286,1,11.0
468,8,276,560,1,8.0
469,8,276,70,1,12.0
470,8,276,164,1,8.0
471,8,276,623,1,9.0
472,8,276,501,1,11.0
473,8,286,255,1,9.0
474,8,286,345,1,9.0
475,8,288,501,1,9.0
476,8,297,212,1,11.0
477,8,302,141,1,9.0
478,8,302,278,1,9.0
479,8,308,396,2,23.0
480,8,335,621,1,11.0
481,8,335,495,1,8.0
482,8,345,212,1,9.0
483,8,349,212,1,10.0
484,8,366,396,50,621.0
485,8,366,212,35,324.0
486,8,370,384,1,10.0
487,8,382,128,1,8.0
488,8,384,214,1,10.0
489,8,384,349,1,13.0
490,8,384,606,1,10.0
491,8,394,212,1,10.0
492,8,396,512,2,27.0
493,8,396,516,2,28.0
494,8,396,519,1,8.0
495,8,396,531,1,12.0
496,8,396,24,1,10.0
497,8,396,544,2,17.0
498,8,396,38,2,20.0
499,8,396,615,1,9.0
500,8,396,558,2,22.0
501,8,396,563,1,10.0
502,8,396,598,1,11.0
503,8,396,614,2,20.0
504,8,396,619,3,26.0
505,8,396,627,5,54.0
506,8,396,145,6,72.0
507,8,396,158,1,10.0
508,8,396,160,1,11.0
509,8,396,214,1,12.0
510,8,396,238,5,58.0
511,8,396,255,14,178.0
512,8,396,273,1,7.0
513,8,396,276,8,93.0
514,8,396,302,5,60.0
515,8,396,308,1,11.0
516,8,396,330,1,11.0
517,8,396,366,1,9.0
518,8,396,370,2,23.0
519,8,396,385,2,17.0
520,8,396,414,2,23.0
521,8,396,453,4,43.0
522,8,396,489,1,11.0
523,8,396,495,2,20.0
524,8,405,501,1,10.0
525,8,412,212,1,9.0
526,8,412,278,1,10.0
527,8,414,396,1,10.0
528,8,447,278,1,12.0
529,8,453,623,1,11.0
530,8,453,212,1,13.0
531,8,495,164,1,10.0
532,8,495,559,1,12.0
533,8,495,335,1,10.0
534,8,495,626,1,9.0
535,8,501,40,1,8.0
536,8,501,133,1,12.0
537,8,512,13,1,9.0
538,8,516,396,1,11.0
539,8,519,384,1,10.0
540,8,519,278,1,9.0
541,8,519,501,1,11.0
542,8,528,623,1,9.0
543,8,531,212,1,11.0
544,8,544,286,1,12.0
545,8,544,384,1,8.0
546,8,555,330,1,10.0
547,8,560,412,1,8.0
548,8,560,158,1,12.0
549,8,560,255,1,11.0
550,8,563,212,1,9.0
551,8,565,623,1,10.0
552,8,574,212,1,10.0
553,8,585,623,1,9.0
554,8,585,212,1,12.0
555,8,614,212,1,8.0
556,8,615,396,1,8.0
557,8,623,4,1,10.0
558,8,623,195,1,12.0
559,8,623,273,1,7.0
560,8,623,323,1,11.0
561,8,623,325,1,11.0
562,8,627,54,1,8.0
563,8,627,70,1,8.0
564,8,627,212,2,28.0
565,9,5,623,1,10.0
566,9,8,212,1,8.0
567,9,24,54,1,9.0
568,9,70,619,1,10.0
569,9,76,212,1,10.0
570,9,128,54,1,8.0
571,9,145,501,1,8.0
572,9,158,396,1,10.0
573,9,158,54,1,12.0
574,9,173,384,1,11.0
575,9,178,278,1,10.0
576,9,178,560,1,9.0
577,9,178,212,1,8.0
578,9,178,54,1,11.0
579,9,212,14,1,10.0
