,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,3932.0,3,2
2,3055.0,10,9
3,2353.0,15,8
4,1776.0,23,11
5,1375.0,23,5
6,1121.0,25,13
7,859.0,26,11
8,714.0,26,11
9,555.0,29,10
10,437.0,26,10
11,324.0,27,6
12,231.0,20,3
13,178.0,17,5
14,147.0,15,6
15,134.0,14,4
16,112.0,14,4
17,101.0,16,5
18,67.0,13,1
19,41.0,11,0
20,23.0,10,0
21,15.0,6,1
22,7.0,4,0
23,3.0,2,0
24,1.0,1,0
25,0.0,0,0
26,0.0,0,0
27,0.0,0,0
28,0.0,0,0
29,0.0,0,0
30,0.0,0,0
31,0.0,0,0
32,0.0,0,0
33,0.0,0,0
34,0.0,0,0
35,0.0,0,0
36,0.0,0,0
